split_pair,left_split,right_split,left_example_id,right_example_id,left_seed_id,right_seed_id,left_concept_group_id,right_concept_group_id,left_source_name,right_source_name,left_prompt,right_prompt,similarity,human_decision,human_notes
test__validation,test,validation,tlc_trip_instructions__multiple_choice__l2__0001__aug_00044__generation,tlc_trip_instructions__multiple_choice__l1__0010__aug_00032__generation,tlc_trip_instructions__multiple_choice__l2__0001,tlc_trip_instructions__multiple_choice__l1__0010,tlc_trip_instructions__concept__7a91891160410e07,tlc_trip_instructions__concept__33b139cb4069c24a,tlc_trip_instructions,tlc_trip_instructions,"Dataset context:
TLC trip data describes real passenger movements across New York City made by yellow taxis, green taxis, and for-hire vehicles (FHVs).

Question:
When considering the area it covers and the ride services included, TLC trip data captures the travel behavior of which group?

Options:
A. Cyclists and pedestrians across the U.S.
B. New York City travelers using taxis and FHVs
C. Private car drivers in suburban New York State
D. International airline passengers at JFK Airport

Please provide the correct option and a concise explanation.","Dataset context:
TLC trip data reflects real-world travel patterns of passengers using taxis and FHVs in NYC.

Question:
The TLC dataset provides information about the travel behavior of which group of travelers?

Options:
A. Cyclists in Central Park
B. Subway riders
C. Riders of NYC taxicabs and for-hire vehicle services
D. Private car drivers

Please provide the correct option and a concise explanation.",0.946574,pending,
test__validation,test,validation,tlc_trip_instructions__multiple_choice__l2__0001__aug_00044__generation,tlc_trip_instructions__multiple_choice__l1__0010__aug_00022__generation,tlc_trip_instructions__multiple_choice__l2__0001,tlc_trip_instructions__multiple_choice__l1__0010,tlc_trip_instructions__concept__7a91891160410e07,tlc_trip_instructions__concept__33b139cb4069c24a,tlc_trip_instructions,tlc_trip_instructions,"Dataset context:
TLC trip data describes real passenger movements across New York City made by yellow taxis, green taxis, and for-hire vehicles (FHVs).

Question:
When considering the area it covers and the ride services included, TLC trip data captures the travel behavior of which group?

Options:
A. Cyclists and pedestrians across the U.S.
B. New York City travelers using taxis and FHVs
C. Private car drivers in suburban New York State
D. International airline passengers at JFK Airport

Please provide the correct option and a concise explanation.","Dataset context:
TLC trip data reflects real-world travel patterns of passengers using taxis and FHVs in NYC.

Question:
The TLC dataset provides information about the travel behavior of which group of travelers?

Options:
A. Cyclists in Central Park
B. Subway riders
C. Riders of NYC taxicabs and for-hire vehicle services
D. Private car drivers

Please provide the correct option and a concise explanation.",0.946574,pending,
test__validation,test,validation,tlc_trip_instructions__multiple_choice__l2__0001__aug_00039__generation,tlc_trip_instructions__multiple_choice__l1__0010__aug_00032__generation,tlc_trip_instructions__multiple_choice__l2__0001,tlc_trip_instructions__multiple_choice__l1__0010,tlc_trip_instructions__concept__7a91891160410e07,tlc_trip_instructions__concept__33b139cb4069c24a,tlc_trip_instructions,tlc_trip_instructions,"Dataset context:
TLC trip data describes real passenger movements across New York City made by yellow taxis, green taxis, and for-hire vehicles (FHVs).

Question:
When considering the area it covers and the ride services included, TLC trip data captures the travel behavior of which group?

Options:
A. Private car drivers in suburban New York State
B. People who ride taxis and FHVs in New York City
C. International airline passengers at JFK Airport
D. Cyclists and pedestrians across the U.S.

Please provide the correct option and a concise explanation.","Dataset context:
TLC trip data reflects real-world travel patterns of passengers using taxis and FHVs in NYC.

Question:
The TLC dataset provides information about the travel behavior of which group of travelers?

Options:
A. Cyclists in Central Park
B. Subway riders
C. Riders of NYC taxicabs and for-hire vehicle services
D. Private car drivers

Please provide the correct option and a concise explanation.",0.946475,pending,
test__validation,test,validation,tlc_trip_instructions__multiple_choice__l2__0001__aug_00039__generation,tlc_trip_instructions__multiple_choice__l1__0010__aug_00022__generation,tlc_trip_instructions__multiple_choice__l2__0001,tlc_trip_instructions__multiple_choice__l1__0010,tlc_trip_instructions__concept__7a91891160410e07,tlc_trip_instructions__concept__33b139cb4069c24a,tlc_trip_instructions,tlc_trip_instructions,"Dataset context:
TLC trip data describes real passenger movements across New York City made by yellow taxis, green taxis, and for-hire vehicles (FHVs).

Question:
When considering the area it covers and the ride services included, TLC trip data captures the travel behavior of which group?

Options:
A. Private car drivers in suburban New York State
B. People who ride taxis and FHVs in New York City
C. International airline passengers at JFK Airport
D. Cyclists and pedestrians across the U.S.

Please provide the correct option and a concise explanation.","Dataset context:
TLC trip data reflects real-world travel patterns of passengers using taxis and FHVs in NYC.

Question:
The TLC dataset provides information about the travel behavior of which group of travelers?

Options:
A. Cyclists in Central Park
B. Subway riders
C. Riders of NYC taxicabs and for-hire vehicle services
D. Private car drivers

Please provide the correct option and a concise explanation.",0.946475,pending,
test__validation,test,validation,tlc_trip_instructions__multiple_choice__l2__0001__aug_00045__generation,tlc_trip_instructions__multiple_choice__l1__0010__aug_00032__generation,tlc_trip_instructions__multiple_choice__l2__0001,tlc_trip_instructions__multiple_choice__l1__0010,tlc_trip_instructions__concept__7a91891160410e07,tlc_trip_instructions__concept__33b139cb4069c24a,tlc_trip_instructions,tlc_trip_instructions,"Dataset context:
TLC trip data describes real passenger movements across New York City made by yellow taxis, green taxis, and for-hire vehicles (FHVs).

Question:
When considering the area it covers and the ride services included, TLC trip data captures the travel behavior of which group?

Options:
A. Private car drivers in suburban New York State
B. People who ride taxis and FHVs in New York City
C. International airline passengers at JFK Airport
D. Cyclists and pedestrians across the U.S.

Please provide the correct option and a concise explanation.","Dataset context:
TLC trip data reflects real-world travel patterns of passengers using taxis and FHVs in NYC.

Question:
The TLC dataset provides information about the travel behavior of which group of travelers?

Options:
A. Cyclists in Central Park
B. Subway riders
C. Riders of NYC taxicabs and for-hire vehicle services
D. Private car drivers

Please provide the correct option and a concise explanation.",0.946475,pending,
test__validation,test,validation,tlc_trip_instructions__multiple_choice__l2__0001__aug_00045__generation,tlc_trip_instructions__multiple_choice__l1__0010__aug_00022__generation,tlc_trip_instructions__multiple_choice__l2__0001,tlc_trip_instructions__multiple_choice__l1__0010,tlc_trip_instructions__concept__7a91891160410e07,tlc_trip_instructions__concept__33b139cb4069c24a,tlc_trip_instructions,tlc_trip_instructions,"Dataset context:
TLC trip data describes real passenger movements across New York City made by yellow taxis, green taxis, and for-hire vehicles (FHVs).

Question:
When considering the area it covers and the ride services included, TLC trip data captures the travel behavior of which group?

Options:
A. Private car drivers in suburban New York State
B. People who ride taxis and FHVs in New York City
C. International airline passengers at JFK Airport
D. Cyclists and pedestrians across the U.S.

Please provide the correct option and a concise explanation.","Dataset context:
TLC trip data reflects real-world travel patterns of passengers using taxis and FHVs in NYC.

Question:
The TLC dataset provides information about the travel behavior of which group of travelers?

Options:
A. Cyclists in Central Park
B. Subway riders
C. Riders of NYC taxicabs and for-hire vehicle services
D. Private car drivers

Please provide the correct option and a concise explanation.",0.946475,pending,
test__validation,test,validation,tlc_trip_instructions__multiple_choice__l2__0001__aug_00040__generation,tlc_trip_instructions__multiple_choice__l1__0010__aug_00032__generation,tlc_trip_instructions__multiple_choice__l2__0001,tlc_trip_instructions__multiple_choice__l1__0010,tlc_trip_instructions__concept__7a91891160410e07,tlc_trip_instructions__concept__33b139cb4069c24a,tlc_trip_instructions,tlc_trip_instructions,"Dataset context:
TLC trip data describes real passenger movements across New York City made by yellow taxis, green taxis, and for-hire vehicles (FHVs).

Question:
When considering the area it covers and the ride services included, TLC trip data captures the travel behavior of which group?

Options:
A. Private car drivers in suburban New York State
B. New York City travelers using taxis and FHVs
C. International airline passengers at JFK Airport
D. Cyclists and pedestrians across the U.S.

Please provide the correct option and a concise explanation.","Dataset context:
TLC trip data reflects real-world travel patterns of passengers using taxis and FHVs in NYC.

Question:
The TLC dataset provides information about the travel behavior of which group of travelers?

Options:
A. Cyclists in Central Park
B. Subway riders
C. Riders of NYC taxicabs and for-hire vehicle services
D. Private car drivers

Please provide the correct option and a concise explanation.",0.946228,pending,
test__validation,test,validation,tlc_trip_instructions__multiple_choice__l2__0001__aug_00040__generation,tlc_trip_instructions__multiple_choice__l1__0010__aug_00022__generation,tlc_trip_instructions__multiple_choice__l2__0001,tlc_trip_instructions__multiple_choice__l1__0010,tlc_trip_instructions__concept__7a91891160410e07,tlc_trip_instructions__concept__33b139cb4069c24a,tlc_trip_instructions,tlc_trip_instructions,"Dataset context:
TLC trip data describes real passenger movements across New York City made by yellow taxis, green taxis, and for-hire vehicles (FHVs).

Question:
When considering the area it covers and the ride services included, TLC trip data captures the travel behavior of which group?

Options:
A. Private car drivers in suburban New York State
B. New York City travelers using taxis and FHVs
C. International airline passengers at JFK Airport
D. Cyclists and pedestrians across the U.S.

Please provide the correct option and a concise explanation.","Dataset context:
TLC trip data reflects real-world travel patterns of passengers using taxis and FHVs in NYC.

Question:
The TLC dataset provides information about the travel behavior of which group of travelers?

Options:
A. Cyclists in Central Park
B. Subway riders
C. Riders of NYC taxicabs and for-hire vehicle services
D. Private car drivers

Please provide the correct option and a concise explanation.",0.946228,pending,
test__validation,test,validation,tlc_trip_instructions__multiple_choice__l2__0001__aug_00046__generation,tlc_trip_instructions__multiple_choice__l1__0010__aug_00032__generation,tlc_trip_instructions__multiple_choice__l2__0001,tlc_trip_instructions__multiple_choice__l1__0010,tlc_trip_instructions__concept__7a91891160410e07,tlc_trip_instructions__concept__33b139cb4069c24a,tlc_trip_instructions,tlc_trip_instructions,"Dataset context:
TLC trip data describes real passenger movements across New York City made by yellow taxis, green taxis, and for-hire vehicles (FHVs).

Question:
When considering the area it covers and the ride services included, TLC trip data captures the travel behavior of which group?

Options:
A. Private car drivers in suburban New York State
B. New York City travelers using taxis and FHVs
C. International airline passengers at JFK Airport
D. Cyclists and pedestrians across the U.S.

Please provide the correct option and a concise explanation.","Dataset context:
TLC trip data reflects real-world travel patterns of passengers using taxis and FHVs in NYC.

Question:
The TLC dataset provides information about the travel behavior of which group of travelers?

Options:
A. Cyclists in Central Park
B. Subway riders
C. Riders of NYC taxicabs and for-hire vehicle services
D. Private car drivers

Please provide the correct option and a concise explanation.",0.946228,pending,
test__validation,test,validation,tlc_trip_instructions__multiple_choice__l2__0001__aug_00046__generation,tlc_trip_instructions__multiple_choice__l1__0010__aug_00022__generation,tlc_trip_instructions__multiple_choice__l2__0001,tlc_trip_instructions__multiple_choice__l1__0010,tlc_trip_instructions__concept__7a91891160410e07,tlc_trip_instructions__concept__33b139cb4069c24a,tlc_trip_instructions,tlc_trip_instructions,"Dataset context:
TLC trip data describes real passenger movements across New York City made by yellow taxis, green taxis, and for-hire vehicles (FHVs).

Question:
When considering the area it covers and the ride services included, TLC trip data captures the travel behavior of which group?

Options:
A. Private car drivers in suburban New York State
B. New York City travelers using taxis and FHVs
C. International airline passengers at JFK Airport
D. Cyclists and pedestrians across the U.S.

Please provide the correct option and a concise explanation.","Dataset context:
TLC trip data reflects real-world travel patterns of passengers using taxis and FHVs in NYC.

Question:
The TLC dataset provides information about the travel behavior of which group of travelers?

Options:
A. Cyclists in Central Park
B. Subway riders
C. Riders of NYC taxicabs and for-hire vehicle services
D. Private car drivers

Please provide the correct option and a concise explanation.",0.946228,pending,
test__validation,test,validation,tlc_trip_instructions__multiple_choice__l2__0001__aug_00038__generation,tlc_trip_instructions__multiple_choice__l1__0010__aug_00021__generation,tlc_trip_instructions__multiple_choice__l2__0001,tlc_trip_instructions__multiple_choice__l1__0010,tlc_trip_instructions__concept__7a91891160410e07,tlc_trip_instructions__concept__33b139cb4069c24a,tlc_trip_instructions,tlc_trip_instructions,"Dataset context:
TLC trip data describes real passenger movements across New York City made by yellow taxis, green taxis, and for-hire vehicles (FHVs).

Question:
When considering the area it covers and the ride services included, TLC trip data captures the travel behavior of which group?

Options:
A. Cyclists and pedestrians across the U.S.
B. New York City travelers using taxis and FHVs
C. Private car drivers in suburban New York State
D. International airline passengers at JFK Airport

Please provide the correct option and a concise explanation.","Dataset context:
TLC trip data reflects real-world travel patterns of passengers using taxis and FHVs in NYC.

Question:
The TLC dataset provides information about the travel behavior of which group of travelers?

Options:
A. Cyclists in Central Park
B. Subway riders
C. Passengers using New York City taxis and for-hire vehicles
D. Private car drivers

Please provide the correct option and a concise explanation.",0.945935,pending,
test__validation,test,validation,tlc_trip_instructions__multiple_choice__l2__0001__aug_00038__generation,tlc_trip_instructions__multiple_choice__l1__0010__aug_00031__generation,tlc_trip_instructions__multiple_choice__l2__0001,tlc_trip_instructions__multiple_choice__l1__0010,tlc_trip_instructions__concept__7a91891160410e07,tlc_trip_instructions__concept__33b139cb4069c24a,tlc_trip_instructions,tlc_trip_instructions,"Dataset context:
TLC trip data describes real passenger movements across New York City made by yellow taxis, green taxis, and for-hire vehicles (FHVs).

Question:
When considering the area it covers and the ride services included, TLC trip data captures the travel behavior of which group?

Options:
A. Cyclists and pedestrians across the U.S.
B. New York City travelers using taxis and FHVs
C. Private car drivers in suburban New York State
D. International airline passengers at JFK Airport

Please provide the correct option and a concise explanation.","Dataset context:
TLC trip data reflects real-world travel patterns of passengers using taxis and FHVs in NYC.

Question:
The TLC dataset provides information about the travel behavior of which group of travelers?

Options:
A. Cyclists in Central Park
B. Subway riders
C. Passengers using New York City taxis and for-hire vehicles
D. Private car drivers

Please provide the correct option and a concise explanation.",0.945935,pending,
test__validation,test,validation,tlc_trip_instructions__multiple_choice__l2__0001__aug_00044__generation,tlc_trip_instructions__multiple_choice__l1__0010__aug_00021__generation,tlc_trip_instructions__multiple_choice__l2__0001,tlc_trip_instructions__multiple_choice__l1__0010,tlc_trip_instructions__concept__7a91891160410e07,tlc_trip_instructions__concept__33b139cb4069c24a,tlc_trip_instructions,tlc_trip_instructions,"Dataset context:
TLC trip data describes real passenger movements across New York City made by yellow taxis, green taxis, and for-hire vehicles (FHVs).

Question:
When considering the area it covers and the ride services included, TLC trip data captures the travel behavior of which group?

Options:
A. Cyclists and pedestrians across the U.S.
B. New York City travelers using taxis and FHVs
C. Private car drivers in suburban New York State
D. International airline passengers at JFK Airport

Please provide the correct option and a concise explanation.","Dataset context:
TLC trip data reflects real-world travel patterns of passengers using taxis and FHVs in NYC.

Question:
The TLC dataset provides information about the travel behavior of which group of travelers?

Options:
A. Cyclists in Central Park
B. Subway riders
C. Passengers using New York City taxis and for-hire vehicles
D. Private car drivers

Please provide the correct option and a concise explanation.",0.945935,pending,
test__validation,test,validation,tlc_trip_instructions__multiple_choice__l2__0001__aug_00044__generation,tlc_trip_instructions__multiple_choice__l1__0010__aug_00031__generation,tlc_trip_instructions__multiple_choice__l2__0001,tlc_trip_instructions__multiple_choice__l1__0010,tlc_trip_instructions__concept__7a91891160410e07,tlc_trip_instructions__concept__33b139cb4069c24a,tlc_trip_instructions,tlc_trip_instructions,"Dataset context:
TLC trip data describes real passenger movements across New York City made by yellow taxis, green taxis, and for-hire vehicles (FHVs).

Question:
When considering the area it covers and the ride services included, TLC trip data captures the travel behavior of which group?

Options:
A. Cyclists and pedestrians across the U.S.
B. New York City travelers using taxis and FHVs
C. Private car drivers in suburban New York State
D. International airline passengers at JFK Airport

Please provide the correct option and a concise explanation.","Dataset context:
TLC trip data reflects real-world travel patterns of passengers using taxis and FHVs in NYC.

Question:
The TLC dataset provides information about the travel behavior of which group of travelers?

Options:
A. Cyclists in Central Park
B. Subway riders
C. Passengers using New York City taxis and for-hire vehicles
D. Private car drivers

Please provide the correct option and a concise explanation.",0.945935,pending,
test__validation,test,validation,tlc_trip_instructions__multiple_choice__l2__0001__aug_00041__generation,tlc_trip_instructions__multiple_choice__l1__0010__aug_00021__generation,tlc_trip_instructions__multiple_choice__l2__0001,tlc_trip_instructions__multiple_choice__l1__0010,tlc_trip_instructions__concept__7a91891160410e07,tlc_trip_instructions__concept__33b139cb4069c24a,tlc_trip_instructions,tlc_trip_instructions,"Dataset context:
TLC trip data describes real passenger movements across New York City made by yellow taxis, green taxis, and for-hire vehicles (FHVs).

Question:
When considering the area it covers and the ride services included, TLC trip data captures the travel behavior of which group?

Options:
A. International airline passengers at JFK Airport
B. Cyclists and pedestrians across the U.S.
C. People who ride taxis and FHVs in New York City
D. Private car drivers in suburban New York State

Please provide the correct option and a concise explanation.","Dataset context:
TLC trip data reflects real-world travel patterns of passengers using taxis and FHVs in NYC.

Question:
The TLC dataset provides information about the travel behavior of which group of travelers?

Options:
A. Cyclists in Central Park
B. Subway riders
C. Passengers using New York City taxis and for-hire vehicles
D. Private car drivers

Please provide the correct option and a concise explanation.",0.945734,pending,
